Disease,Target,Explanation/Rationale,Class,Score,Repurposing lever,Evidence
Charcot-Marie-Tooth,HDAC1,"Microtubule Stability: CMT involves axonal transport failure. HDAC inhibition increases α-tubulin acetylation, which stabilizes microtubules and restores axonal transport.; Axonal Transport: HDAC inhibition increases tubulin acetylation, which stabilizes microtubules and improves axonal transport, a key defect in CMT neuropathies.",Epigenetic,0.654,,
Crohn's Disease,NOD2,Bacterial Sensing: Genetic driver. NOD2 regulates the gut response to bacteria. Modulating it (rather than just blocking cytokines) addresses the root cause.,Receptor,,,
Crohn’s disease,DHODH,Established lymphocyte-selective immunosuppression; human case-level signal in refractory IBD/uveitis; rapid deployment path. (OUP Academic),DHODH inhibitor,0.908,,
Crohn’s disease,FKBP1A,,mTOR/rapalog,0.942,,
Crohn’s disease,NDUFAF2,Pilot RCT/observational data support IL-1 rescue in steroid-refractory UC; fast-onset mechanism. (PubMed),Complex I assembly,0.899,,
Diabetes Mellitus Type 2,AKT1,"Insulin Signaling: AKT is the central node of insulin signaling. While not ""novel"" in mechanism, predicting specific isoform targets for complications (like cataract) suggests precise pathway mapping.; Insulin Resistance: The core effector of the insulin receptor. While known, isoform-specific targeting (AKT1 vs AKT2) is the frontier for reducing side effects.",Kinase,0.75,,
Diabetes Mellitus Type 2 (Cataract),PLK1,"Lens Epithelial Growth: PLK1 drives cell division. In diabetic cataracts, lens cells undergo abnormal proliferation/metaplasia. PLK1 inhibition could halt this opacity.",Kinase,,,
Diabetes T2 (Cataract),PLK1,"Lens Epithelial Growth: In diabetic cataracts, lens cells undergo abnormal proliferation. PLK1 inhibition could halt this opacity.",Kinase,-,,
Eczema,JAK1,Itch/Inflammation: JAK1 mediates the itch cytokine (IL-31) signaling. Validates the utility of JAK inhibitors in dermatology.,Kinase,,,
Endometriosis,PTGS2,Pain/Inflammation: COX-2. Overexpressed in ectopic tissue. Targeting this manages both pain and the inflammatory environment.,Enzyme,,,
Essential Hypertension,HSP90AA1,"eNOS Coupling: Required for nitric oxide production. Targeting HSP90 could restore endothelial relaxation in resistant hypertension.; Endothelial Function: HSP90 governs the coupling of eNOS. Dysfunctional HSP90 leads to superoxide production instead of Nitric Oxide (NO), causing vasoconstriction and hypertension.",Chaperone,0.721,,
Familial Ataxia,ABL2,Cytoskeleton: ABL2 regulates neurite outgrowth and dendritic stability. Ataxias involve dendritic pruning; ABL2 modulation supports structural integrity of neurons.,Kinase,,,
Familial Ataxia,FYN,"NMDA Regulation: Fyn kinase phosphorylates NMDA receptors, controlling synaptic excitability. In ataxia, excitotoxicity is a driver; Fyn inhibition could be neuroprotective.",Kinase,,,
Familial paroxysmal ataxia,ABL2,Cytoskeletal Dynamics: ABL2 (Arg) regulates neurite outgrowth and cytoskeletal remodeling. Defects in these pathways often underlie ataxias and signaling at the synapse.,,0.04089,,
Familial paroxysmal ataxia,FYN,"NMDA Receptor Regulation: Fyn kinase phosphorylates NMDA receptors, regulating excitability. Paroxysmal ataxia involves channel dysfunction; Fyn modulation could stabilize neuronal firing.",,0.04014,,
Fuchs endothelial corneal dystrophy,PTGFR (PGF2αR),"As above; pairs naturally with non-invasive readouts (CCT, densitometry) in short PO studies. (PubMed)",PG analog hypothesis,0.767,,
Fuchs endothelial corneal dystrophy,PTGIR (PGI2R),"Re-discovers the rapalog-stent axis; enables adjacent indications (e.g., AVG/AVF stenosis) with device/drug delivery.",PGI2 analog hypothesis,0.724,,
Glaucoma,ROCK1,"Outflow: Rho Kinase inhibition relaxes the trabecular meshwork, increasing fluid outflow and lowering eye pressure. (Netarsudil mechanism).",Kinase,,,
Glioblastoma,CDK6,"Cell Cycle Addiction: GBM tumors frequently delete CDKN2A (p16), making them addicted to CDK4/6 for proliferation. While BBB penetration is a challenge, the molecular logic is sound.; Cell Cycle Arrest: GBM tumors often lack p16INK4a, making them dependent on CDK4/6 for proliferation. CDK6 inhibition induces senescence in glioma cells.",Kinase,0.884,,
Glioblastoma,PLK1,"Mitotic Catastrophe: PLK1 is a master regulator of mitosis. GBM cells are highly mitotic; PLK1 inhibition drives them into apoptosis (mitotic catastrophe) more effectively than healthy glia.; Mitotic Catastrophe: PLK1 is overexpressed in GBM and correlates with poor prognosis. Inhibiting PLK1 arrests cells in mitosis, inducing apoptosis in rapidly dividing tumor cells.",Kinase,0.812,,
gonorrhea,GJB1,"Gap Junctions: Connexin 32 (GJB1) regulates cell-cell communication. While primary mechanism is unclear, gap junctions can facilitate bacterial invasion or host cell response signaling.",Channel,,,
Gout,XDH,Uric Acid: Xanthine Dehydrogenase (Oxidase). The target of Allopurinol. Confirms metabolic pathway learning.,Enzyme,,,
Huntington's,HDAC4,Transcriptional Rescue: Mutant Huntingtin binds HDAC4. Inhibiting HDAC4 (or its nuclear import) restores the expression of neuroprotective factors like BDNF.,Epigenetic,,,
Leukemia (AML),FLT3,"Proliferation Signal: A major driver mutation in AML. FLT3 inhibitors are standard, validating the model's ability to find oncogenic drivers.",Kinase,,,
Limited cutaneous systemic sclerosis,PDE4C,PDE4 can down-tune macrophage/Th1 cytokines; merits N-of-1 explorations with imaging endpoints. (Mechanistic extension from dermal fibrosis). (PubMed),PDE4 inhibitor,0.98,,
Long Covid,HMGB1,"Chronic Inflammation: HMGB1 is a ""danger signal"" (DAMP) that perpetuates inflammation loops. It is a prime candidate for the persistent fatigue/inflammation of Long Covid.; Chronic Inflammation: HMGB1 is a DAMP released during cell stress that perpetuates inflammation. Blocking HMGB1 could break the cycle of chronic ""cytokine storm"" in Long Covid.",Cytokine,0.698,,
Long Covid,SIRT1,"Mitochondrial Reset: Long Covid involves ""viral senescence"" and mitochondrial fatigue. SIRT1 activation (via NAD+) restores mitochondrial energetics.",Deacetylase,,,
Lung Fibrosis,SIRT1,"Senolysis: As noted above, SIRT1 activation reverses the myofibroblast phenotype. This targets the aging driver of fibrosis rather than just the collagen output.; Anti-Fibrotic/Aging: Strongest Candidate. SIRT1 deacetylation inhibits TGF-$\beta$/Smad signaling and NF-$\kappa$B, directly reversing the myofibroblast phenotype and collagen deposition.",Deacetylase,0.821,,
Lung Fibrosis,SRC,"Signaling Node: SRC integrates signals from PDGF and TGF-β receptors. The drug Nintedanib targets SRC, validating this prediction as a ""true positive"" mechanism found by the model.; Kinase Inhibition: SRC kinase activation is a downstream effector of multiple profibrotic receptors (PDGF, TGF-$\beta$). Nintedanib targets SRC; this validates the model's pathway logic.",Kinase,0.785,,
Lupus (SLE),IRF5,Interferon Driver: Master regulator of the Type I interferon signature in Lupus. More specific than broad immunosuppression.,Transcription,-,,
Macular Degeneration,C3,"Inflammation: Complement factor C3 drives the ""dry"" form of AMD. Inhibiting C3 prevents retinal cell death.",Complement,,,
Malaria,DHFR,Folate Synthesis: The target of antimalarials (Pyrimethamine),Enzyme,,,
Melanoma,BRAF,Standard of Care: A validation of the model. It identifies the key driver mutation pathway (MAPK).,Kinase,,,
Memory Disorder,AXL,"Microglial Clearance: AXL is a receptor on microglia involved in clearing synaptic debris. Enhancing AXL function could improve synaptic health and memory in neurodegeneration.; Glial Clearance: AXL allows microglia to eat synaptic debris (""pruning""). Dysfunctional pruning causes memory loss; AXL activation could restore healthy plasticity.",Receptor,0.01687,,
Memory Disorder,CSNK1E,"Circadian Rhythm/Plasticity: Casein Kinase 1 Epsilon regulates circadian rhythms, which are tightly linked to memory consolidation and synaptic plasticity.; Circadian Clock: CK1-epsilon regulates the circadian clock. Memory consolidation is circadian-dependent; this target links sleep cycles to cognitive retention.",Kinase,0.01665,,
Multiple Sclerosis,MTR,"Remyelination: Methionine Synthase. The methylation cycle is critical for myelin synthesis. MTR support could enhance the repair of lesions in MS.; Remyelination: Methionine Synthase (MTR) is crucial for the one-carbon cycle and methylation, which is required for myelin basic protein (MBP) synthesis and repair.",Enzyme,0.61,,
Neointimal hyperplasia (restenosis phenotype),FKBP1A,Orthogonal to approved ganaxolone; precision channel modulation has genetic/functional rationale across DEEs. (PubMed),mTOR/rapalog,0.975,,
Osteoporosis,CTSK,Bone Resorption: Cathepsin K is the enzyme osteoclasts use to dissolve bone collagen. A highly specific target for bone density.,Enzyme,,,
Ovarian Cancer,PARP1,Synthetic Lethality: Exploits BRCA deficiencies. The model correctly links DNA repair defects to PARP sensitivity.,Enzyme,,,
Pancreatic Cancer,KRAS,"The Driver: 95% of cases are KRAS driven. While ""undruggable"" historically, the model likely detects the new wave of G12C/G12D inhibitor viability.",GTPase,,,
Parkinson's,GBA,Lysosomal Function: Glucocerebrosidase. Mutations cause Gaucher's and PD. Chaperoning GBA to the lysosome helps clear alpha-synuclein aggregates.,Enzyme,,,
Prostate Cancer,AR,"Androgen Drive: Similar to above, correctly identifying the lineage-specific driver transcription factor.",Receptor,,,
Proximal SMA,MDM2,Neuroprotection: MDM2 is a negative regulator of p53. Inhibition prevents p53-mediated motor neuron apoptosis in SMA.,Ligase,0.015,,
Proximal spinal muscular atrophy type 3,MDM2,"Neuroprotection: MDM2 is a negative regulator of p53. Inhibition of MDM2 prevents p53-mediated neuronal apoptosis, potentially preserving motor neurons in SMA.",,0.01501,,
Psoriasis,JAK1,Cytokine Signaling: Validated target (JAK inhibitors). The model correctly identifies the IL-23/IL-17 axis dependency on JAK signaling.,Kinase,,,
"Pulmonary arterial hypertension, associated types",GUCY1B1/GUCY1B2,Hypothesis-generating: PG signaling may modulate endothelial resilience; test alongside proven ROCK drops around DSO/cataract. (PubMed),sGC stimulators,0.791/0.960,,
Pulmonary Sarcoidosis,PTPRB,Endothelial Integrity: PTPRB regulates Tie2 and vascular permeability. Sarcoidosis involves vascular leakage; stabilizing the endothelium could reduce lung edema and inflammation.; Vascular Remodeling: PTPRB (VE-PTP) regulates endothelial junctions and Tie2 signaling. Sarcoidosis involves granuloma formation and angiogenesis; PTPRB inhibition could normalize vascular permeability.,Phosphatase,0.0157,,
Pulmonary Sarcoidosis,VEGFD,"Granuloma Vascularization: Sarcoid granulomas are hypoxic and angiogenic. VEGF-D promotes lymphangiogenesis. Blocking this could ""starve"" the structural formation of granulomas.; Angiogenesis: VEGFD promotes lymphangiogenesis. Granulomas in sarcoidosis are highly vascularized; targeting VEGFD could starve granuloma formation.",Growth Factor,0.01689,,
Refractory Schizophrenia,AKT1,"Dopamine Downstream: AKT1 interacts with Dopamine D2 receptors. In refractory cases where receptor blockers fail, targeting the downstream effector (AKT) offers a bypass.; Dopamine Signaling: AKT1 is a downstream effector of Dopamine D2 receptors. Reduced AKT1 levels are found in schizophrenia patients; activators could bypass defective receptor signaling.",Kinase,0.68,,
Rheumatoid Arthritis,BTK,B-Cell / Macrophage: Bruton's Tyrosine Kinase. Critical for B-cell activation and macrophage Fc-receptor signaling. A strong alternative to anti-TNF therapy.,Kinase,,,
SCA Type 3,NECTIN4,"Synaptic Maintenance: Nectins maintain cell-cell adhesion at synapses. In neurodegeneration (SCA3), synaptic stripping occurs; Nectins could stabilize these connections.",Adhesion,,,
Sepsis,TLR4,Endotoxin Sensor: The receptor for LPS. Blocking TLR4 could prevent the initial cytokine storm trigger in bacterial sepsis.,Receptor,,,
Small-bowel Crohn’s,IMPDH1,Same class rationale as IMPDH2; redundancy across isoforms strengthens hit. (OUP Academic),IMPDH inhibitor (MMF/MPS),0.949,,
Small-bowel Crohn’s,IMPDH2,Mitochondrial dysfunction is implicated in IBD epithelium; offers a distinct epithelial-centric lever paired with anti-inflammatory therapy. (SpringerLink),IMPDH inhibitor,0.912,,
Small-bowel Crohn’s,PDE4C/D,Signals of mTOR benefit exist in some immune colitides; consider strictures/fistula sub-phenotypes with surgical endpoints.,PDE4 inhibitor,0.919/0.949,,
Spinocerebellar Ataxia 3,NECTIN4,"Synaptic Maintenance: Nectins maintain cell-cell adhesion. In SCA3 neurodegeneration, stabilizing these contacts could delay progression.",Adhesion,0.013,,
Systemic Lupus,IRF5,Interferon Driver: A master regulator of the Type I interferon signature seen in Lupus. A highly specific upstream target compared to broad immunosuppressants.,Transcription,,,
Temporal arteritis,IMPDH1/2,Cell-mediated enthesitis biology; a “rescue/swap” option in biologic-intolerant patients worth small pilot.,IMPDH inhibitor,0.852/0.777,,
Temporal arteritis (GCA),DHODH,Lymphocyte-directed control; clinical practicality where AZA/MTX unsuitable. (Trans-disease repurposing logic).,DHODH inhibitor,0.829,,
Trypanosomiasis,CD19,"B-Cell Modulation: Trypanosomes use ""antigenic variation"" to exhaust the host immune system. CD19 targets B-cells; modulating this could prevent the fatal B-cell exhaustion phase of the infection.; Immune Response: CD19 is a B-cell marker. Trypanosomes evade the immune system by varying surface coats; targeting B-cell activation pathways may boost host defense or modulate chronic inflammation.",Receptor,0.0191,,
Tuberculosis,TNF,"Granuloma Maint: Cautionary Tale. TNF is needed to contain TB. The model predicts the link, but clinically, blocking TNF reactivates TB. Shows the model finds links, but directionality needs expert review.",Cytokine,,,
Ulcerative colitis,IL1R1,"Strong mechanistic case (STAT3/trans-signaling) but mixed human data → propose biomarker-enriched rescue cohort, not broad use. (PubMed)",IL-1 blocker (anakinra/canakinumab),0.712,,
Ulcerative colitis,IL6R,T-cell–driven vasculitis; DHODH is steroid-sparing in other autoimmune settings — rationale for flare-control add-on. (Mechanistic extension from IBD DHODH). (PubMed),IL-6R blocker,0.727,,
Von Willebrand disease,TRAP1,"Mitochondrial Protection: A mitochondrial HSP90 homolog. Endothelial cells in VWD are stressed; TRAP1 protects against oxidative damage, preserving factor secretion.; Mitochondrial Chaperone: TRAP1 protects against oxidative stress. Endothelial dysfunction in VWD may be mitigated by preserving mitochondrial health in endothelial cells.",Chaperone,0.01525,,
